pageviews,browser,visit_duration,visitors,visits,bounce_rate
15937,Chrome,242,3268,4304,38
3689,Microsoft Edge,279,672,933,32
1929,Firefox,311,290,398,29
1349,Safari,183,373,450,53
415,Mobile App,110,107,113,58
199,Samsung Browser,160,93,97,53
63,Opera,89,29,33,55
22,DuckDuckGo Privacy Browser,64,10,12,83
20,Phoenix Browser,88,11,11,55
17,Huawei Browser Mobile,346,5,6,33
15,UC Browser,242,8,8,50
10,Yandex Browser,0,10,10,100
8,vivo Browser,694,1,1,0
3,(not set),0,3,3,100
2,MIUI Browser,1,1,1,0
2,Notion,8,1,1,0
