pageviews,browser,visitors,visit_duration,visits,bounce_rate
15947,Chrome,3274,242,4310,38
3689,Microsoft Edge,672,279,933,32
1932,Firefox,291,310,399,29
1349,Safari,373,183,450,53
415,Mobile App,107,110,113,58
199,Samsung Browser,93,160,97,53
63,Opera,29,89,33,55
22,DuckDuckGo Privacy Browser,10,64,12,83
20,Phoenix Browser,11,88,11,55
17,Huawei Browser Mobile,5,346,6,33
15,UC Browser,8,242,8,50
10,Yandex Browser,10,0,10,100
8,vivo Browser,1,694,1,0
3,(not set),3,0,3,100
2,MIUI Browser,1,1,1,0
2,Notion,1,8,1,0
