country,pageviews,visitors,visit_duration,visits,bounce_rate
CH,4102,489,310,772,32
US,3111,640,197,819,38
UG,1573,359,281,480,40
MW,1535,337,278,424,33
ZA,1314,250,250,355,42
GB,1155,203,233,289,36
NG,925,344,91,373,43
KE,803,161,286,198,37
CA,747,126,326,155,37
ID,737,145,279,196,38
NL,705,176,195,227,46
GH,677,172,218,215,43
IN,659,228,160,278,53
BD,402,52,328,83,24
CN,396,59,263,92,24
PE,388,51,425,62,19
FR,356,65,371,80,50
PT,355,43,328,71,23
PH,327,27,584,45,16
SL,277,82,392,96,45
NE,261,60,273,70,27
BE,235,34,304,42,29
DE,233,63,142,73,47
NP,221,34,375,44,30
ET,208,54,265,68,40
RW,196,32,244,49,22
BJ,193,53,257,73,27
ZM,178,77,146,90,46
CI,170,41,179,65,26
IT,139,39,194,48,42
TH,124,22,283,31,16
BF,102,38,72,50,16
CO,97,30,129,35,34
DK,76,14,312,18,22
ES,62,13,382,15,40
CM,53,15,83,20,30
JO,47,7,744,7,14
KH,44,8,145,13,62
BR,43,8,312,9,22
TZ,39,10,171,13,38
AE,36,2,1475,2,0
SS,28,13,151,19,63
AT,25,14,6,14,43
FI,25,21,2,21,81
SE,24,18,19,19,84
SO,24,8,529,12,58
BO,21,4,554,4,0
HU,18,8,54,8,62
MZ,17,10,259,10,70
UA,17,17,0,17,100
MU,16,6,23,6,50
PS,15,5,233,5,20
RU,15,14,0,14,93
ZW,11,7,15,9,78
GT,10,4,175,4,25
KR,10,8,0,8,75
MG,10,3,24,6,50
MX,10,3,658,3,67
SN,9,6,148,6,67
NO,8,5,32,5,60
AU,7,5,2,5,60
LR,7,3,573,3,33
PL,7,6,0,6,83
QA,6,2,648,2,0
SY,6,3,134,3,33
EG,5,1,184,1,0
IE,4,3,1,3,67
PK,4,4,0,4,100
JP,3,3,0,3,100
MD,3,2,14,2,50
YE,3,2,32,2,50
HT,2,2,0,2,100
IL,2,1,0,2,100
IQ,2,1,65,1,0
LK,2,1,0,1,0
RE,2,1,0,1,0
SG,2,1,0,1,0
TN,2,1,1616,1,0
A1,1,1,0,1,100
CZ,1,1,0,1,100
EC,1,1,0,1,100
HK,1,1,0,1,100
LB,1,1,0,1,100
LI,1,1,0,1,100
ML,1,1,0,1,100
NI,1,1,0,1,100
TR,1,1,0,1,100
VN,1,1,0,1,100
